iShares Russell 1000 ETF
Fund Holdings as of,"Nov 07, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CAT","CATERPILLAR INC","Industrials","Equity","185,877,057.60","0.42","185,877,057.60","330,096.00","563.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","170,602,965.63","0.39","170,602,965.63","1,112,217.00","153.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","169,073,598.60","0.38","169,073,598.60","955,380.00","176.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","168,512,662.00","0.38","168,512,662.00","214,300.00","786.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","159,902,808.60","0.36","159,902,808.60","666,595.00","239.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","156,211,286.40","0.35","156,211,286.40","1,236,240.00","126.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","155,226,089.16","0.35","155,226,089.16","1,799,097.00","86.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","154,231,867.63","0.35","154,231,867.63","269,443.00","572.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","152,704,338.72","0.35","152,704,338.72","509,592.00","299.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","145,336,761.00","0.33","145,336,761.00","912,060.00","159.35","United States","NASDAQ","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","144,319,526.92","0.33","144,319,526.92","391,598.00","368.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
